title;author;journal;year;source;pages;volume;document_type;doi;url;publisher;issn;status;
Reliability, failure detection and prevention in cyber-physical systems (CPSs) with agents;Sanislav, Teodora and Zeadally, Sherali and Mois, George Dan and Fouchal, Hacène;Concurrency and Computation: Practice and Experience;2019;Wiley;e4481;31;article;10.1002/cpe.4481;https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.4481;;;Accepted;
A comprehensive survey of security threats and their mitigation techniques for next-generation SDN controllers;Han, Tao and Jan, Syed Rooh Ullah and Tan, Zhiyuan and Usman, Muhammad and Jan, Mian Ahmad and Khan, Rahim and Xu, Yongzhao;Concurrency and Computation: Practice and Experience;;Wiley;e5300;n/a;article;10.1002/cpe.5300;https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.5300;;;Duplicated;
Cyber-Physical Cloud Computing System for Monitoring LNG Leakage in Pipelines;C. {Jacinto} and F. M. S. {López} and E. R. {Villota Cerna};;2019;IEEE Digital Library;1-4;;inproceedings;10.1109/INTERCON.2019.8853629;;;;Duplicated;
Mobile cloud networking for efficient energy management in smart grid cyber-physical systems;Kumar, N. and Zeadally, S. and Misra, S.C.;IEEE Wireless Communications;2016;Scopus;100-108;23;article;10.1109/MWC.2016.7721748;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012154488&doi=10.1109%2fMWC.2016.7721748&partnerID=40&md5=191577c3aa67fc5428223acdb7174b27;;;Duplicated;
Mobile Cloud Networking for Efficient Energy Management in Smart Grid Cyber-physical Systems;Kumar, Neeraj and Zeadally, Sherali and Misra, Subhas C.;Wireless Commun.;2016;ACM Digital Library;100--108;23;article;10.1109/MWC.2016.7721748;https://doi.org/10.1109/MWC.2016.7721748;IEEE Press;1536-1284;Duplicated;
MOBILE CLOUD NETWORKING FOR EFFICIENT ENERGY MANAGEMENT IN SMART GRID CYBER-PHYSICAL SYSTEMS;Kumar, Neeraj and Zeadally, Sherali and Misra, Subhas C.;IEEE WIRELESS COMMUNICATIONS;2016;ISI Web of Science;100-108;23;article;10.1109/MWC.2016.7721748;;;1536-1284;Duplicated;
Leveraging the Capabilities of Industry 4.0 for Improving Energy Efficiency in Smart Factories;Mohamed, Nader and Al-Jaroodi, Jameela and Lazarova-Molnar, Sanja;IEEE ACCESS;2019;ISI Web of Science;18008-18020;7;article;10.1109/ACCESS.2019.2897045;;;2169-3536;Duplicated;
On the Combination of Multi-Cloud and Network Coding for Cost-Efficient Storage in Industrial Applications;Peralta, Goiuri and Garrido, Pablo and Bilbao, Josu and Aguero, Ramon and Crespo, Pedro M.;SENSORS;2019;ISI Web of Science;;19;article;10.3390/s19071673;;;1424-8220;Duplicated;
A Cloud-Based System for Improving Retention Marketing Loyalty Programs in Industry 4.0: A Study on Big Data Storage Implications;Galletta, A. and Carnevale, L. and Celesti, A. and Fazio, M. and Villari, M.;IEEE Access;2017;Scopus;5485-5492;6;article;10.1109/ACCESS.2017.2776400;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035799131&doi=10.1109%2fACCESS.2017.2776400&partnerID=40&md5=75084915d395d1eebf8a99b0b13569a6;;;Duplicated;
A Cloud-Based System for Improving Retention Marketing Loyalty Programs in Industry 4.0: A Study on Big Data Storage Implications;Galletta, Antonino and Carnevale, Lorenzo and Celesti, Antonio and Fazio, Maria and Villari, Massimo;IEEE ACCESS;2018;ISI Web of Science;5485-5492;6;article;10.1109/ACCESS.2017.2776400;;;2169-3536;Duplicated;
Information Fusion Architecture for Variable-Load Scheduling in a Cloud-Assisted CPS;B. K. {Chejerla} and S. {Madria};;2016;IEEE Digital Library;178-187;;inproceedings;10.1109/CIC.2016.034;;;;Duplicated;
Software Evolution for Digital Transformation;Zimmermann, Alfred and Schmidt, Rainer and Bogner, Justus and Jugel, Dierk and Möhring, Michael;;2018;ACM Digital Library;205--212;;inproceedings;10.5220/0006815702050212;https://doi.org/10.5220/0006815702050212;SCITEPRESS - Science and Technology Publications, Lda;;Duplicated;
A scalable distributed machine learning approach for attack detection in edge computing environments;Kozik, Rafal and Choras, Michal and Ficco, Massimo and Palmieri, Francesco;JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING;2018;ISI Web of Science;18-26;119;article;10.1016/j.jpdc.2018.03.006;;;0743-7315;Duplicated;
A Microscope for the Data Centre;Pereira, Nuno and Tennina, Stefano and Loureiro, João and Severino, Ricardo and Saraiva, Bruno and Santos, Manuel and Pacheco, Filipe and Tovar, Eduardo;Int. J. Sen. Netw.;2015;ACM Digital Library;193--203;18;article;10.1504/IJSNET.2015.070400;http://dx.doi.org/10.1504/IJSNET.2015.070400;Inderscience Publishers;1748-1279;Duplicated;
Distributed and Managed: Research Challenges and Opportunities of the Next Generation Cyber-Physical Systems;Karsai, Gabor and Balasubramanian, Daniel and Dubey, Abhishek and Otte, William R.;;2014;ACM Digital Library;1--8;;inproceedings;10.1109/ISORC.2014.36;https://doi.org/10.1109/ISORC.2014.36;IEEE Computer Society;;Duplicated;
Distributed and Managed: Research Challenges and Opportunities of the Next Generation Cyber-Physical Systems;G. {Karsai} and D. {Balasubramanian} and A. {Dubey} and W. R. {Otte};;2014;IEEE Digital Library;1-8;;inproceedings;10.1109/ISORC.2014.36;;;;Duplicated;
Energy Efficiency Based on Quality of Data for Cyber Physical Systems;Phuong, Luong Thi Thu and Hieu, Nguyen Trung and Wang, Jin and Lee, Sungyoung and Lee, Young-Koo;;2011;ACM Digital Library;232--241;;inproceedings;10.1109/iThings/CPSCom.2011.61;https://doi.org/10.1109/iThings/CPSCom.2011.61;IEEE Computer Society;;Duplicated;
Energy Efficiency Based on Quality of Data for Cyber Physical Systems;L. T. T. {Phuong} and N. T. {Hieu} and J. {Wang} and S. {Lee} and Y. {Lee};;2011;IEEE Digital Library;232-241;;inproceedings;10.1109/iThings/CPSCom.2011.61;;;;Duplicated;
Fog Computing for the Integration of Agents and Web Services in an Autonomic Reflexive Middleware;Sánchez, Manuel and Aguilar, Jose and Exposito, Ernesto;Serv. Oriented Comput. Appl.;2018;ACM Digital Library;333--347;12;article;10.1007/s11761-018-0238-0;https://doi.org/10.1007/s11761-018-0238-0;Springer-Verlag;1863-2386;Duplicated;
Emerging Security Mechanisms for Medical Cyber Physical Systems;Kocabas, Ovunc and Soyata, Tolga and Aktas, Mehmet K.;IEEE/ACM Trans. Comput. Biol. Bioinformatics;2016;ACM Digital Library;401--416;13;article;;http://dl.acm.org/citation.cfm?id=2992856.2992858;IEEE Computer Society Press;1545-5963;Duplicated;
Modern Hardware Margins: CPUs, GPUs, FPGAs Recent System-Level Studies;Gizopoulos, D. and Papadimitriou, G. and Chatzidimitriou, A. and Reddi, V.J. and Salami, B. and Unsal, O.S. and Kestelman, A.C. and Leng, J.;2019 IEEE 25th International Symposium on On-Line Testing and Robust System Design, IOLTS 2019;2019;Scopus;129-134;;conference;10.1109/IOLTS.2019.8854386;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073758728&doi=10.1109%2fIOLTS.2019.8854386&partnerID=40&md5=1ad5a64af877bebc2f3f0c10a4a3f027;;;Duplicated;
A Preliminary Design and Implementation of Location-Based Mobile Advertising Schemes with Plot Placement Animation over a Cyber-Physical System;R. {Lee} and A. {Chen} and C. {Chiang} and Y. A. {Chen} and C. {Liu};;2016;IEEE Digital Library;196-201;;inproceedings;10.1109/NaNA.2016.89;;;;Duplicated;
Advances in Production Management Systems: Innovative Production Management Towards Sustainable Growth IFIP WG 5.7 International Conference, APMS;Umeda, Shigeki and Nakano, Masaru and Mizuyama, Hajime and Hibino, Hironori and Kiritsis, Dimitris and von Cieminski, Gregor;;2015;ACM Digital Library;;;book;;;Springer Publishing Company, Incorporated;;Duplicated;
CPS data streams analytics based on machine learning for Cloud and Fog Computing: A survey;Fei, Xiang and Shah, Nazaraf and Verba, Nandor and Chao, Kuo-Ming and Sanchez-Anguix, Victor and Lewandowski, Jacek and James, Anne and Usman, Zahid;FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE;2019;ISI Web of Science;435-450;90;article;10.1016/j.future.2018.06.042;;;0167-739X;Duplicated;
Cloud manufacturing: key issues and future perspectives;Liu, Yongkui and Wang, Lihui and Wang, Xi Vincent and Xu, Xun and Jiang, Pingyu;INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING;2019;ISI Web of Science;858-874;32;article;10.1080/0951192X.2019.1639217;;;0951-192X;Duplicated;
Software Platforms for Smart Cities: Concepts, Requirements, Challenges, and a Unified Reference Architecture;Santana, Eduardo Felipe Zambom and Chaves, Ana Paula and Gerosa, Marco Aurelio and Kon, Fabio and Milojicic, Dejan S.;ACM Comput. Surv.;2017;ACM Digital Library;78:1--78:37;50;article;10.1145/3124391;http://doi.acm.org/10.1145/3124391;ACM;0360-0300;Duplicated;
Distributed architecture for real-time cyber-physical system, time-sensitive networks;T. {Kovácsházy};;2018;IEEE Digital Library;1-3;;inproceedings;10.1109/CarpathianCC.2018.8399588;;;;Duplicated;
Techniques and Research Trends of Network Testbed;H. {Gao} and Y. {Peng} and Z. {Dai} and H. {Li};;2014;IEEE Digital Library;537-541;;inproceedings;10.1109/IIH-MSP.2014.139;;;;Duplicated;
Techniques and Research Trends of Network Testbed;Gao, Haihui and Peng, Yong and Dai, Zhonghua and Li, Hanjing;;2014;ACM Digital Library;537--541;;inproceedings;10.1109/IIH-MSP.2014.139;https://doi.org/10.1109/IIH-MSP.2014.139;IEEE Computer Society;;Duplicated;
Enabling the human in the loop: Linked data and knowledge in industrial cyber-physical systems;Emmanouilidis, Christos and Pistofidis, Petros and Bertoncelj, Luka and Katsouros, Vassilis and Fournaris, Apostolos and Koulamas, Christos and
Ruiz-Carcel, Cristobal;ANNUAL REVIEWS IN CONTROL;2019;ISI Web of Science;249-265;47;article;10.1016/j.arcontrol.2019.03.004;;;1367-5788;Duplicated;
Semantic cyber-physical cloud systems;Beres, A.;2017 5th International Symposium on Digital Forensic and Security, ISDFS 2017;2017;Scopus;;;conference;10.1109/ISDFS.2017.7916499;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020190539&doi=10.1109%2fISDFS.2017.7916499&partnerID=40&md5=3c1ccc9c84016d0f1be980ef7636f280;;;Duplicated;
Smart Factory of Industry 4.0: Key Technologies, Application Case, and Challenges;B. {Chen} and J. {Wan} and L. {Shu} and P. {Li} and M. {Mukherjee} and B. {Yin};IEEE Access;2018;IEEE Digital Library;6505-6519;6;article;10.1109/ACCESS.2017.2783682;;;;Duplicated;
Smart Factory of Industry 4.0: Key Technologies, Application Case, and Challenges;Chen, Baotong and Wan, Jiafu and Shu, Lei and Li, Peng and Mukherjee, Mithun and Yin, Boxin;IEEE ACCESS;2018;ISI Web of Science;6505-6519;6;article;10.1109/ACCESS.2017.2783682;;;2169-3536;Duplicated;
An Architecture model for Smart Farming;A. {Triantafyllou} and D. C. {Tsouros} and P. {Sarigiannidis} and S. {Bibi};;2019;IEEE Digital Library;385-392;;inproceedings;10.1109/DCOSS.2019.00081;;;;Duplicated;
V-Cloud: Vehicular Cyber-physical Systems and Cloud Computing;Abid, Hassan and Phuong, Luong Thi Thu and Wang, Jin and Lee, Sungyoung and Qaisar, Saad;;2011;ACM Digital Library;165:1--165:5;;inproceedings;10.1145/2093698.2093863;http://doi.acm.org/10.1145/2093698.2093863;ACM;;Duplicated;
VCPS: Vehicular Cyber-physical Systems for Smart Road Services;Jeong, Jaehoon (Paul) and Lee, Eunseok;;2014;ACM Digital Library;133--138;;inproceedings;10.1109/WAINA.2014.146;https://doi.org/10.1109/WAINA.2014.146;IEEE Computer Society;;Duplicated;
VCPS: Vehicular Cyber-physical Systems for Smart Road Services;J. {Jeong} and E. {Lee};;2014;IEEE Digital Library;133-138;;inproceedings;10.1109/WAINA.2014.146;;;;Duplicated;
Component Importance Analysis of Mobile Cloud Computing System in the Presence of Common-Cause Failures;J. {Zheng} and H. {Okamura} and T. {Dohi};IEEE Access;2018;IEEE Digital Library;18630-18642;6;article;10.1109/ACCESS.2018.2822338;;;;Duplicated;
Cyber-physical microservices: An IoT-based framework for manufacturing systems;K. {Thramboulidis} and D. C. {Vachtsevanou} and A. {Solanos};;2018;IEEE Digital Library;232-239;;inproceedings;10.1109/ICPHYS.2018.8387665;;;;Duplicated;
Communication technology for industry 4.0;Marcon, P. and Zezulka, F. and Vesely, I. and Szabo, Z. and Roubal, Z. and Sajdl, O. and Gescheidtova, E. and Dohnal, P.;Progress in Electromagnetics Research Symposium;2017;Scopus;1694-1697;;conference;10.1109/PIERS.2017.8262021;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044931302&doi=10.1109%2fPIERS.2017.8262021&partnerID=40&md5=aa179b651ea15fa0689052e3d1871115;;;Duplicated;
Optimistic Modeling and Simulation of Complex Hardware Platforms and Embedded Systems on Many-Core HPC Clusters;Poshtkohi, Alireza and Ghaznavi-Ghoushchi, M. B. and Saghafi, Kamyar;IEEE Trans. Parallel Distrib. Syst.;2019;ACM Digital Library;428--444;30;article;10.1109/TPDS.2018.2860014;https://doi.org/10.1109/TPDS.2018.2860014;IEEE Press;1045-9219;Duplicated;
A Fog Computing Based Cyber-Physical System for the Automation of Pipe-Related Tasks in the Industry 4.0 Shipyard;Fernandez-Carames, Tiago M. and Fraga-Lamas, Paula and Suarez-Albela, Manuel and Diaz-Bouza, Manuel A.;SENSORS;2018;ISI Web of Science;;18;article;10.3390/s18061961;;;1424-8220;Duplicated;
An approach to model dependability of cyber-physical systems;Sanislav, T. and Mois, G. and Miclea, L.;Microprocessors and Microsystems;2016;Scopus;67-76;41;article;10.1016/j.micpro.2015.11.021;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957005489&doi=10.1016%2fj.micpro.2015.11.021&partnerID=40&md5=f1cc9093895918cf3ba489611a1f112d;;;Duplicated;
An Approach to Model Dependability of Cyber-physical Systems;Sanislav, Teodora and Mois, George and Miclea, Liviu;Microprocess. Microsyst.;2016;ACM Digital Library;67--76;41;article;10.1016/j.micpro.2015.11.021;http://dx.doi.org/10.1016/j.micpro.2015.11.021;Elsevier Science Publishers B. V.;0141-9331;Duplicated;
A comparison of fog and cloud computing cyber-physical interfaces for Industry 4.0 real-time embedded machine learning engineering applications;O'Donovan, Peter and Gallagher, Colm and Leahy, Kevin and O'Sullivan, Dominic T. J.;COMPUTERS IN INDUSTRY;2019;ISI Web of Science;12-35;110;article;10.1016/j.compind.2019.04.016;;;0166-3615;Duplicated;
GPU Accelerated Industrial Data Analysis in Private Cloud Environment;A. N. {Sisyukov} and O. S. {Yulmetova} and V. A. {Kuznecov};;2019;IEEE Digital Library;348-352;;inproceedings;10.1109/EIConRus.2019.8656751;;;;Duplicated;
Vita: A Crowdsensing-Oriented Mobile Cyber-Physical System;X. {Hu} and T. H. S. {Chu} and H. C. B. {Chan} and V. C. M. {Leung};IEEE Transactions on Emerging Topics in Computing;2013;IEEE Digital Library;148-165;1;article;10.1109/TETC.2013.2273359;;;;Duplicated;
Vita: A Crowdsensing-Oriented Mobile Cyber-Physical System;Hu, Xiping and Chu, Terry H. S. and Chan, Henry C. B. and Leung, Victor C. M.;IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTING;2013;ISI Web of Science;148-165;1;article;10.1109/TETC.2013.2273359;;;2168-6750;Duplicated;
Architecture of Cyber-Physical Systems Based on Cloud;Luo, S. and Zhang, L. and Guo, N.;Proceedings - 5th IEEE International Conference on Big Data Security on Cloud, BigDataSecurity 2019, 5th IEEE International Conference on High Performance and Smart Computing, HPSC 2019 and 4th IEEE International Conference on Intelligent Data and Security, IDS 2019;2019;Scopus;251-257;;conference;10.1109/BigDataSecurity-HPSC-IDS.2019.00055;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072773104&doi=10.1109%2fBigDataSecurity-HPSC-IDS.2019.00055&partnerID=40&md5=e6a026e464297957fef153da29e9ae51;;;Duplicated;
Where There Is Fire There Is SMOKE: A Scalable Edge Computing Framework for Early Fire Detection;Avgeris, Marios and Spatharakis, Dimitrios and Dechouniotis, Dimitrios and Kalatzis, Nikos and Roussaki, Ioanna and Papavassiliou, Symeon;SENSORS;2019;ISI Web of Science;;19;article;10.3390/s19030639;;;1424-8220;Duplicated;
Tangible security: Survey of methods supporting secure ad-hoc connects of edge devices with physical context;Hu, Qiao and Zhang, Jingyi and Mitrokotsa, Aikaterini and Hancke, Gerhard;COMPUTERS \& SECURITY;2018;ISI Web of Science;281-300;78;article;10.1016/j.cose.2018.06.009;;;0167-4048;Duplicated;
A Service-Based Approach to Designing Cyber Physical Systems;La, Hyun Jung and Kim, Soo Dong;;2010;ACM Digital Library;895--900;;inproceedings;10.1109/ICIS.2010.73;https://doi.org/10.1109/ICIS.2010.73;IEEE Computer Society;;Duplicated;
Industrial Big Data Analytics for Prediction of Remaining Useful Life Based on Deep Learning;H. {Yan} and J. {Wan} and C. {Zhang} and S. {Tang} and Q. {Hua} and Z. {Wang};IEEE Access;2018;IEEE Digital Library;17190-17197;6;article;10.1109/ACCESS.2018.2809681;;;;Duplicated;
Industrial Big Data Analytics for Prediction of Remaining Useful Life Based on Deep Learning;Yan, Hehua and Wan, Jiafu and Zhang, Chunhua and Tang, Shenglong and Hua, Qingsong and Wang, Zhongren;IEEE ACCESS;2018;ISI Web of Science;17190-17197;6;article;10.1109/ACCESS.2018.2809681;;;2169-3536;Duplicated;
Cyber Physical System based proactive Collaborative Maintenance;G. {Papa} and U. {Zurutuza} and R. {Uribeetxeberria};;2016;IEEE Digital Library;173-178;;inproceedings;10.1109/SST.2016.7765654;;;;Duplicated;
A Manufacturing Big Data Solution for Active Preventive Maintenance;Wan, J. and Tang, S. and Li, D. and Wang, S. and Liu, C. and Abbas, H. and Vasilakos, A.V.;IEEE Transactions on Industrial Informatics;2017;Scopus;2039-2047;13;article;10.1109/TII.2017.2670505;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029445795&doi=10.1109%2fTII.2017.2670505&partnerID=40&md5=0d602508023f551d387d7502fb250452;;;Duplicated;
Physical attack protection with human-secure virtualization in data centers;J. {Szefer} and P. {Jamkhedkar} and {Yu-Yuan Chen} and R. B. {Lee};;2012;IEEE Digital Library;1-6;;inproceedings;10.1109/DSNW.2012.6264664;;;;Duplicated;
Smart Hybrid Manufacturing Control Using Cloud Computing and the Internet-of-Things;Erasmus, Jonnro and Grefen, Paul and Vanderfeesten, Irene and Traganos, Konstantinos;MACHINES;2018;ISI Web of Science;;6;article;10.3390/machines6040062;;;;Duplicated;
Evolutionary planning of virtualized cyber-physical compute and control clusters;Jablkowski, Boguslaw and Gabor, Ulrich Thomas and Spinczyk, Olaf;JOURNAL OF SYSTEMS ARCHITECTURE;2017;ISI Web of Science;17-27;73;article;10.1016/j.sysarc.2016.11.001;;;1383-7621;Duplicated;
Evolutionary Planning of Virtualized Cyber-physical Compute and Control Clusters;Jablkowski, Boguslaw and Thomas Gabor, Ulrich and Spinczyk, Olaf;J. Syst. Archit.;2017;ACM Digital Library;17--27;73;article;10.1016/j.sysarc.2016.11.001;https://doi.org/10.1016/j.sysarc.2016.11.001;Elsevier North-Holland, Inc.;1383-7621;Duplicated;
The SPD approach to deploy service-based applications in the cloud;Sami Yangui and Tata, Samir;CONCURRENCY AND COMPUTATION-PRACTICE \& EXPERIENCE;2015;ISI Web of Science;3943-3960;27;article;10.1002/cpe.3367;;;1532-0626;Duplicated;
The SPD approach to deploy service-based applications in the cloud;Yangui, Sami and Tata, Samir;Concurrency and Computation: Practice and Experience;2015;Wiley;3943-3960;27;article;10.1002/cpe.3367;https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.3367;;;Duplicated;
Big data and cloud computing platform for energy Internet;Fu, R. and Gao, F. and Zeng, R. and Hu, J. and Luo, Y. and Qu, L.;CIEEC 2017 - Proceedings of 2017 China International Electrical and Energy Conference;2018;Scopus;681-686;;conference;10.1109/CIEEC.2017.8388531;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050021486&doi=10.1109%2fCIEEC.2017.8388531&partnerID=40&md5=d0e1f65dd26243162814acdaa91bdc89;;;Duplicated;
A Cloud-Integrated, Multilayered, Agent-Based Cyber-Physical System Architecture;Sanislav, Teodora and Zeadally, Sherali and Mois, George Dan;COMPUTER;2017;ISI Web of Science;27-37;50;article;10.1109/MC.2017.113;;;0018-9162;Duplicated;
Multiple Perspectives of Digital Enterprise Architecture;Zimmermann, Alfred and Schmidt, Rainer and Sandkuhl, Kurt;;2019;ACM Digital Library;547--554;;inproceedings;10.5220/0007769105470554;https://doi.org/10.5220/0007769105470554;SCITEPRESS - Science and Technology Publications, Lda;;Duplicated;
Industry 4.0: State of the art and future trends;Xu, L.D. and Xu, E.L. and Li, L.;International Journal of Production Research;2018;Scopus;2941-2962;56;article;10.1080/00207543.2018.1444806;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064005739&doi=10.1080%2f00207543.2018.1444806&partnerID=40&md5=bd22cd2bac87605bf42dc17b68c13ee3;;;Duplicated;
Control from the Cloud: Edge Computing, Services and Digital Shadow for Automation Technologies*;C. {Brecher} and M. {Buchsbaum} and S. {Storms};;2019;IEEE Digital Library;9327-9333;;inproceedings;10.1109/ICRA.2019.8793488;;;;Duplicated;
Cloud computing as a facilitator for web service composition in factory automation;Puttonen, Juha and Lobov, Andrei and Cavia Soto, Maria A. and Martinez Lastra, Jose L.;JOURNAL OF INTELLIGENT MANUFACTURING;2019;ISI Web of Science;687-700;30;article;10.1007/s10845-016-1277-z;;;0956-5515;Duplicated;
Cloud Computing As a Facilitator for Web Service Composition in Factory Automation;Puttonen, Juha and Lobov, Andrei and Soto, Maria A. and Lastra, José L.;J. Intell. Manuf.;2019;ACM Digital Library;687--700;30;article;10.1007/s10845-016-1277-z;https://doi.org/10.1007/s10845-016-1277-z;Springer-Verlag;0956-5515;Duplicated;
Cloud-Assisted IoT-Based SCADA Systems Security: A Review of the State of the Art and Future Challenges;Sajid, A. and Abbas, H. and Saleem, K.;IEEE Access;2016;Scopus;1375-1384;4;article;10.1109/ACCESS.2016.2549047;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979815252&doi=10.1109%2fACCESS.2016.2549047&partnerID=40&md5=f942820e9977e9f211b7738bb935f3ee;;;Duplicated;
Cloud-Assisted IoT-Based SCADA Systems Security: A Review of the State of the Art and Future Challenges;Sajid, Anam and Abbas, Haider and Saleem, Kashif;IEEE ACCESS;2016;ISI Web of Science;1375-1384;4;article;10.1109/ACCESS.2016.2549047;;;2169-3536;Duplicated;
Access control for cyber-physical systems interconnected to the cloud;Lopez, J. and Rubio, J.E.;Computer Networks;2018;Scopus;46-54;134;article;10.1016/j.comnet.2018.01.037;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041472618&doi=10.1016%2fj.comnet.2018.01.037&partnerID=40&md5=003a334fae5c87bbfcd7bef747e1a80a;;;Duplicated;
Networking architectures and protocols for smart city systems;Jawhar, I. and Mohamed, N. and Al-Jaroodi, J.;Journal of Internet Services and Applications;2018;Scopus;;9;article;10.1186/s13174-018-0097-0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058855217&doi=10.1186%2fs13174-018-0097-0&partnerID=40&md5=6a8d99980b5ef4353169a88c40e9ae01;;;Duplicated;
Towards Programmable Fog Nodes in Smart Factories;M. S. D. {Brito} and S. {Hoque} and R. {Steinke} and A. {Willner};;2016;IEEE Digital Library;236-241;;inproceedings;10.1109/FAS-W.2016.57;;;;Duplicated;
Development of A Predictive Maintenance Platform for Cyber-Physical Systems;F. {Yang} and H. {Lin};;2019;IEEE Digital Library;331-335;;inproceedings;10.1109/ICPHYS.2019.8780144;;;;Duplicated;
Cloud systems and big data processing for environmental telemetry;Suciu, G. and Suciu, V. and Halunga, S. and Fratu, O. and Anggorojati, B.;2014 International Conference on Applied and Theoretical Electricity, ICATE 2014 - Proceedings;2014;Scopus;;;conference;10.1109/ICATE.2014.6972676;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919608445&doi=10.1109%2fICATE.2014.6972676&partnerID=40&md5=1936c49d94dcba3a33894606566ce12b;;;Duplicated;
Flexible Container Platform Architecture for Industrial Robot Control;C. A. {Garcia} and M. V. {Garcia} and E. {Irisarri} and F. {Pérez} and M. {Marcos} and E. {Estevez};;2018;IEEE Digital Library;1056-1059;1;inproceedings;10.1109/ETFA.2018.8502496;;;;Duplicated;
Model-based platform design and evaluation of cloud-based cyber-physical systems (CCPS);J. {Dell} and T. {Greiner} and W. {Rosenstiel};;2014;IEEE Digital Library;376-381;;inproceedings;10.1109/INDIN.2014.6945542;;;;Duplicated;
Continuous and Parallel LiDAR Point-Cloud Clustering;H. {Najdataei} and Y. {Nikolakopoulos} and V. {Gulisano} and M. {Papatriantafilou};;2018;IEEE Digital Library;671-684;;inproceedings;10.1109/ICDCS.2018.00071;;;;Duplicated;
VCMIA: A Novel Architecture for Integrating Vehicular Cyber-Physical Systems and Mobile Cloud Computing;Wan, Jiafu and Zhang, Daqiang and Sun, Yantao and Lin, Kai and Zou, Caifeng and Cai, Hu;Mob. Netw. Appl.;2014;ACM Digital Library;153--160;19;article;10.1007/s11036-014-0499-6;http://dx.doi.org/10.1007/s11036-014-0499-6;Springer-Verlag New York, Inc.;1383-469X;Duplicated;
VCMIA: A Novel Architecture for Integrating Vehicular Cyber-Physical Systems and Mobile Cloud Computing;Wan, Jiafu and Zhang, Daqiang and Sun, Yantao and Lin, Kai and Zou, Caifeng and Cai, Hu;MOBILE NETWORKS \& APPLICATIONS;2014;ISI Web of Science;153-160;19;article;10.1007/s11036-014-0499-6;;;1383-469X;Duplicated;
Secure Cloud Computing;Jajodia, Sushil and Kant, Krishna and Samarati, Pierangela and Singhal, Anoop and Swarup, Vipin and Wang, Cliff;;2016;ACM Digital Library;;;book;;;Springer Publishing Company, Incorporated;;Duplicated;
Review on Testing of Cyber Physical Systems: Methods and Testbeds;X. {Zhou} and X. {Gou} and T. {Huang} and S. {Yang};IEEE Access;2018;IEEE Digital Library;52179-52194;6;article;10.1109/ACCESS.2018.2869834;;;;Duplicated;
Review on Testing of Cyber Physical Systems: Methods and Testbeds;Zhou, Xin and Gou, Xiaodong and Huang, Tingting and Yang, Shunkun;IEEE ACCESS;2018;ISI Web of Science;52179-52194;6;article;10.1109/ACCESS.2018.2869834;;;2169-3536;Duplicated;
Integrated Simulation Testbed for Security and Resilience of CPS;Neema, Himanshu and Potteiger, Bradley and Koutsoukos, Xenofon and Karsai, Gabor and Volgyesi, Peter and Sztipanovits, Janos;;2018;ACM Digital Library;368--374;;inproceedings;10.1145/3167132.3167173;http://doi.acm.org/10.1145/3167132.3167173;ACM;;Duplicated;
Fog Computing-Based Cyber-Physical Machine Tool System;Z. {Zhou} and J. {Hu} and Q. {Liu} and P. {Lou} and J. {Yan} and W. {Li};IEEE Access;2018;IEEE Digital Library;44580-44590;6;article;10.1109/ACCESS.2018.2863258;;;;Duplicated;
A New Threat Intelligence Scheme for Safeguarding Industry 4.0 Systems;N. {Moustafa} and E. {Adi} and B. {Turnbull} and J. {Hu};IEEE Access;2018;IEEE Digital Library;32910-32924;6;article;10.1109/ACCESS.2018.2844794;;;;Duplicated;
Name-Centric Service Architecture for Cyber-Physical Systems (Short Paper);Hellbrück, Horst and Teubler, Torsten and Fischer, Stefan;;2013;ACM Digital Library;77--82;;inproceedings;10.1109/SOCA.2013.63;https://doi.org/10.1109/SOCA.2013.63;IEEE Computer Society;;Duplicated;
